Total characters: 141
Characters with >=3 poor criteria: 109

=== EMPTY (8-10 poor) (61 chars) ===
  三色院堇子                |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  东头伊佐奈                |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  丸友和                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  乾心寿                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  乾纱寿叶                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  伊理户水斗                |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  伊理户结女                |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  佐条涉                  |  84L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  佐藤                   |  68L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  佐藤博道                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  佐藤时雨                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  克莱因                  |  83L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  八满结                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  八王子直人                |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  千寿村征                 |  84L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  南晓月                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  和泉正宗                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  和泉纱雾                 |  84L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  夏川爱华                 |  84L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  奈良坂真绫                |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  小吉                   |  84L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  小美浪爱澄                |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  小鸭                   |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  山田妖精                 |  84L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  川波小暮                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  律茂真人                 |  86L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  户崎优                  |  83L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  才川晴香                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  新庄圭介                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  日向葵                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  更衣人偶                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  樱                    |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  永井圭                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  洋木茅春                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  浅村悠太                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  海斗                   |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  犬束秀                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  狼谷                   |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  猫崎享                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  神野惠                  |  84L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  秋月加代子                |  83L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  秋月爱莉                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  秋月真理奈                |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  秋野樱                  |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  结城明日奈                |  86L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  羽生真由梨／真由罗            |  83L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  羽立桧菜                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  艾基尔                  |  83L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  莉兹贝特                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  葉月保雄                 |  85L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
  蒲田公英                 |  84L | 10/10 | empty_skills, no_hp, generic_personality, generic_anchors, no_tags, no_drives, no_body_by_age, generic_body, generic_appearance, generic_speech
